Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
ZS,ZSCALER INC,Information Technology,Equity,"6,673,307.55",0.21,"6,673,307.55","41,145.00",162.19,United States,NASDAQ,USD
EBAY,EBAY INC,Consumer Discretionary,Equity,"6,083,959.88",0.19,"6,083,959.88","149,263.00",40.76,United States,NASDAQ,USD
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"5,763,827.16",0.18,"5,763,827.16","21,357.00",269.88,United States,NASDAQ,USD
ILMN,ILLUMINA INC,Health Care,Equity,"5,279,713.20",0.16,"5,279,713.20","44,130.00",119.64,United States,NASDAQ,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"5,263,293.57",0.16,"5,263,293.57","5,263,294.00",100,United States,-,USD
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,Equity,"5,120,130.84",0.16,"5,120,130.84","240,834.00",21.26,United States,NASDAQ,USD
SIRI,SIRIUS XM HOLDINGS INC,Communication,Equity,"4,826,781.99",0.15,"4,826,781.99","1,079,817.00",4.47,United States,NASDAQ,USD
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology,Equity,"4,410,660.54",0.14,"4,410,660.54","71,474.00",61.71,United States,NASDAQ,USD
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"3,782,839.17",0.12,"3,782,839.17","38,253.00",98.89,United States,NASDAQ,USD
JD,JD.COM ADR REPRESENTING INC,Consumer Discretionary,Equity,"3,089,653.02",0.1,"3,089,653.02","126,729.00",24.38,China,NASDAQ,USD
LCID,LUCID GROUP INC,Consumer Discretionary,Equity,"2,715,137.84",0.08,"2,715,137.84","634,378.00",4.28,United States,NASDAQ,USD
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,"272,000.00",0.01,"272,000.00","272,000.00",100,United States,-,USD
EUR,EUR CASH,Cash and/or Derivatives,Cash,"108,243.64",0,"108,243.64","102,228.00",105.89,European Union,-,EUR
MARGIN_USD,FUTURES USD MARGIN BALANCE,Cash and/or Derivatives,Cash Collateral and Margins,0,0,0,0,100,United States,-,USD
NQZ3,NASDAQ 100 E-MINI DEC 23,Cash and/or Derivatives,Futures,0,0,"4,692,480.00",16,"14,664.00",-,Index And Options Market,USD
